Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   305   87812   87813  304.00000  304.00000  305.00000   168   88336  167.50000  167.83333  168.50000
0000002  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   305   87812   87813  304.00000  304.33333  305.00000   168   88336  167.50000  167.83333  168.50000
0000003  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   305   87812   87813  304.00000  304.66667  305.00000   168   88336  167.50000  167.83333  168.50000
0000004  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   306   87813   87814  305.00000  305.00000  306.00000   168   88337  167.50000  167.83333  168.50000
0000005  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   306   87813   87814  305.00000  305.33333  306.00000   168   88337  167.50000  167.83333  168.50000
0000006  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   306   87813   87814  305.00000  305.66667  306.00000   168   88337  167.50000  167.83333  168.50000
0000007  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   307   87814   87815  306.00000  306.00000  307.00000   168   88338  167.50000  167.83333  168.50000
0000008  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   307   87814   87815  306.00000  306.33333  307.00000   168   88338  167.50000  167.83333  168.50000
0000009  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   307   87814   87815  306.00000  306.66667  307.00000   168   88338  167.50000  167.83333  168.50000
0000010  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   308   87815   87816  307.00000  307.00000  308.00000   168   88339  167.50000  167.83333  168.50000
0000011  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   308   87815   87816  307.00000  307.33333  308.00000   168   88339  167.50000  167.83333  168.50000
0000012  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   308   87815   87816  307.00000  307.66667  308.00000   168   88339  167.50000  167.83333  168.50000
0000013  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   309   87816   87817  308.00000  308.00000  309.00000   168   88340  167.50000  167.83333  168.50000
0000014  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   309   87816   87817  308.00000  308.33333  309.00000   168   88340  167.50000  167.83333  168.50000
0000015  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   309   87816   87817  308.00000  308.66667  309.00000   168   88340  167.50000  167.83333  168.50000
0000016  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   310   87817   87818  309.00000  309.00000  310.00000   168   88341  167.50000  167.83333  168.50000
0000017  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   310   87817   87818  309.00000  309.33333  310.00000   168   88341  167.50000  167.83333  168.50000
0000018  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   310   87817   87818  309.00000  309.66667  310.00000   168   88341  167.50000  167.83333  168.50000
0000019  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   311   87818   87819  310.00000  310.00000  311.00000   168   88342  167.50000  167.83333  168.50000
0000020  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   311   87818   87819  310.00000  310.33333  311.00000   168   88342  167.50000  167.83333  168.50000
0000021  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   311   87818   87819  310.00000  310.66667  311.00000   168   88342  167.50000  167.83333  168.50000
0000022  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   312   87819   87820  311.00000  311.00000  312.00000   168   88343  167.50000  167.83333  168.50000
0000023  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   312   87819   87820  311.00000  311.33333  312.00000   168   88343  167.50000  167.83333  168.50000
0000024  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   312   87819   87820  311.00000  311.66667  312.00000   168   88343  167.50000  167.83333  168.50000
0000025  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   313   87820   87821  312.00000  312.00000  313.00000   168   88344  167.50000  167.83333  168.50000
0000026  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   313   87820   87821  312.00000  312.33333  313.00000   168   88344  167.50000  167.83333  168.50000
0000027  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   313   87820   87821  312.00000  312.66667  313.00000   168   88344  167.50000  167.83333  168.50000
0000028  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   314   87821   87822  313.00000  313.00000  314.00000   168   88345  167.50000  167.83333  168.50000
0000029  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   314   87821   87822  313.00000  313.33333  314.00000   168   88345  167.50000  167.83333  168.50000
0000030  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   314   87821   87822  313.00000  313.66667  314.00000   168   88345  167.50000  167.83333  168.50000
0000031  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   315   87822   87823  314.00000  314.00000  315.00000   168   88346  167.50000  167.83333  168.50000
0000032  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   315   87822   87823  314.00000  314.33333  315.00000   168   88346  167.50000  167.83333  168.50000
0000033  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   315   87822   87823  314.00000  314.66667  315.00000   168   88346  167.50000  167.83333  168.50000
0000034  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   316   87823   87824  315.00000  315.00000  316.00000   168   88347  167.50000  167.83333  168.50000
0000035  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   316   87823   87824  315.00000  315.33333  316.00000   168   88347  167.50000  167.83333  168.50000
0000036  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   316   87823   87824  315.00000  315.66667  316.00000   168   88347  167.50000  167.83333  168.50000
0000037  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   317   87824   87825  316.00000  316.00000  317.00000   168   88348  167.50000  167.83333  168.50000
0000038  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   317   87824   87825  316.00000  316.33333  317.00000   168   88348  167.50000  167.83333  168.50000
0000039  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   317   87824   87825  316.00000  316.66667  317.00000   168   88348  167.50000  167.83333  168.50000
0000040  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   318   87825   87826  317.00000  317.00000  318.00000   168   88349  167.50000  167.83333  168.50000
0000041  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   318   87825   87826  317.00000  317.33333  318.00000   168   88349  167.50000  167.83333  168.50000
0000042  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   318   87825   87826  317.00000  317.66667  318.00000   168   88349  167.50000  167.83333  168.50000
