Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   304   87979   87980  303.50000  303.83333  304.50000   169   88504  168.00000  168.00000  169.00000
0000002  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   304   87979   87980  303.50000  304.16667  304.50000   169   88504  168.00000  168.00000  169.00000
0000003  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   305   87980   87981  304.50000  304.50000  305.50000   169   88505  168.00000  168.00000  169.00000
0000004  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   305   87980   87981  304.50000  304.83333  305.50000   169   88505  168.00000  168.00000  169.00000
0000005  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   305   87980   87981  304.50000  305.16667  305.50000   169   88505  168.00000  168.00000  169.00000
0000006  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   306   87981   87982  305.50000  305.50000  306.50000   169   88506  168.00000  168.00000  169.00000
0000007  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   306   87981   87982  305.50000  305.83333  306.50000   169   88506  168.00000  168.00000  169.00000
0000008  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   306   87981   87982  305.50000  306.16667  306.50000   169   88506  168.00000  168.00000  169.00000
0000009  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   307   87982   87983  306.50000  306.50000  307.50000   169   88507  168.00000  168.00000  169.00000
0000010  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   307   87982   87983  306.50000  306.83333  307.50000   169   88507  168.00000  168.00000  169.00000
0000011  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   307   87982   87983  306.50000  307.16667  307.50000   169   88507  168.00000  168.00000  169.00000
0000012  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   308   87983   87984  307.50000  307.50000  308.50000   169   88508  168.00000  168.00000  169.00000
0000013  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   308   87983   87984  307.50000  307.83333  308.50000   169   88508  168.00000  168.00000  169.00000
0000014  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   308   87983   87984  307.50000  308.16667  308.50000   169   88508  168.00000  168.00000  169.00000
0000015  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   309   87984   87985  308.50000  308.50000  309.50000   169   88509  168.00000  168.00000  169.00000
0000016  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   309   87984   87985  308.50000  308.83333  309.50000   169   88509  168.00000  168.00000  169.00000
0000017  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   309   87984   87985  308.50000  309.16667  309.50000   169   88509  168.00000  168.00000  169.00000
0000018  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   310   87985   87986  309.50000  309.50000  310.50000   169   88510  168.00000  168.00000  169.00000
0000019  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   310   87985   87986  309.50000  309.83333  310.50000   169   88510  168.00000  168.00000  169.00000
0000020  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   310   87985   87986  309.50000  310.16667  310.50000   169   88510  168.00000  168.00000  169.00000
0000021  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   311   87986   87987  310.50000  310.50000  311.50000   169   88511  168.00000  168.00000  169.00000
0000022  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   311   87986   87987  310.50000  310.83333  311.50000   169   88511  168.00000  168.00000  169.00000
0000023  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   311   87986   87987  310.50000  311.16667  311.50000   169   88511  168.00000  168.00000  169.00000
0000024  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   312   87987   87988  311.50000  311.50000  312.50000   169   88512  168.00000  168.00000  169.00000
0000025  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   312   87987   87988  311.50000  311.83333  312.50000   169   88512  168.00000  168.00000  169.00000
0000026  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   312   87987   87988  311.50000  312.16667  312.50000   169   88512  168.00000  168.00000  169.00000
0000027  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   313   87988   87989  312.50000  312.50000  313.50000   169   88513  168.00000  168.00000  169.00000
0000028  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   313   87988   87989  312.50000  312.83333  313.50000   169   88513  168.00000  168.00000  169.00000
0000029  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   313   87988   87989  312.50000  313.16667  313.50000   169   88513  168.00000  168.00000  169.00000
0000030  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   314   87989   87990  313.50000  313.50000  314.50000   169   88514  168.00000  168.00000  169.00000
0000031  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   314   87989   87990  313.50000  313.83333  314.50000   169   88514  168.00000  168.00000  169.00000
0000032  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   314   87989   87990  313.50000  314.16667  314.50000   169   88514  168.00000  168.00000  169.00000
0000033  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   315   87990   87991  314.50000  314.50000  315.50000   169   88515  168.00000  168.00000  169.00000
0000034  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   315   87990   87991  314.50000  314.83333  315.50000   169   88515  168.00000  168.00000  169.00000
0000035  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   315   87990   87991  314.50000  315.16667  315.50000   169   88515  168.00000  168.00000  169.00000
0000036  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   316   87991   87992  315.50000  315.50000  316.50000   169   88516  168.00000  168.00000  169.00000
0000037  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   316   87991   87992  315.50000  315.83333  316.50000   169   88516  168.00000  168.00000  169.00000
0000038  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   316   87991   87992  315.50000  316.16667  316.50000   169   88516  168.00000  168.00000  169.00000
0000039  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   317   87992   87993  316.50000  316.50000  317.50000   169   88517  168.00000  168.00000  169.00000
0000040  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   317   87992   87993  316.50000  316.83333  317.50000   169   88517  168.00000  168.00000  169.00000
