Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   304   87979   87980  303.50000  303.83333  304.50000   168   88504  167.50000  167.83333  168.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   304   87979   87980  303.50000  304.16667  304.50000   168   88504  167.50000  167.83333  168.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   305   87980   87981  304.50000  304.50000  305.50000   168   88505  167.50000  167.83333  168.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   305   87980   87981  304.50000  304.83333  305.50000   168   88505  167.50000  167.83333  168.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   305   87980   87981  304.50000  305.16667  305.50000   168   88505  167.50000  167.83333  168.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   306   87981   87982  305.50000  305.50000  306.50000   168   88506  167.50000  167.83333  168.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   306   87981   87982  305.50000  305.83333  306.50000   168   88506  167.50000  167.83333  168.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   306   87981   87982  305.50000  306.16667  306.50000   168   88506  167.50000  167.83333  168.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   307   87982   87983  306.50000  306.50000  307.50000   168   88507  167.50000  167.83333  168.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   307   87982   87983  306.50000  306.83333  307.50000   168   88507  167.50000  167.83333  168.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   307   87982   87983  306.50000  307.16667  307.50000   168   88507  167.50000  167.83333  168.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   308   87983   87984  307.50000  307.50000  308.50000   168   88508  167.50000  167.83333  168.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   308   87983   87984  307.50000  307.83333  308.50000   168   88508  167.50000  167.83333  168.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   308   87983   87984  307.50000  308.16667  308.50000   168   88508  167.50000  167.83333  168.50000
0000015  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   309   87984   87985  308.50000  308.50000  309.50000   168   88509  167.50000  167.83333  168.50000
0000016  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   309   87984   87985  308.50000  308.83333  309.50000   168   88509  167.50000  167.83333  168.50000
