Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    36    9396    9397   35.50000   35.83333   36.50000    61    9552   60.50000   60.83333   61.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    36    9396    9397   35.50000   36.16667   36.50000    61    9552   60.50000   60.83333   61.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    37    9397    9398   36.50000   36.50000   37.50000    61    9553   60.50000   60.83333   61.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    37    9397    9398   36.50000   36.83333   37.50000    61    9553   60.50000   60.83333   61.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    37    9397    9398   36.50000   37.16667   37.50000    61    9553   60.50000   60.83333   61.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    38    9398    9399   37.50000   37.50000   38.50000    61    9554   60.50000   60.83333   61.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    38    9398    9399   37.50000   37.83333   38.50000    61    9554   60.50000   60.83333   61.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    38    9398    9399   37.50000   38.16667   38.50000    61    9554   60.50000   60.83333   61.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    39    9399    9400   38.50000   38.50000   39.50000    61    9555   60.50000   60.83333   61.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    39    9399    9400   38.50000   38.83333   39.50000    61    9555   60.50000   60.83333   61.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    39    9399    9400   38.50000   39.16667   39.50000    61    9555   60.50000   60.83333   61.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    40    9400    9401   39.50000   39.50000   40.50000    61    9556   60.50000   60.83333   61.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    40    9400    9401   39.50000   39.83333   40.50000    61    9556   60.50000   60.83333   61.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    40    9400    9401   39.50000   40.16667   40.50000    61    9556   60.50000   60.83333   61.50000
