Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    37    9336    9337   36.00000   36.00000   37.00000    61    9491   60.50000   60.83333   61.50000
0000002  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    37    9336    9337   36.00000   36.33333   37.00000    61    9491   60.50000   60.83333   61.50000
0000003  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    37    9336    9337   36.00000   36.66667   37.00000    61    9491   60.50000   60.83333   61.50000
0000004  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    38    9337    9338   37.00000   37.00000   38.00000    61    9492   60.50000   60.83333   61.50000
0000005  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    38    9337    9338   37.00000   37.33333   38.00000    61    9492   60.50000   60.83333   61.50000
0000006  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    38    9337    9338   37.00000   37.66667   38.00000    61    9492   60.50000   60.83333   61.50000
0000007  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    39    9338    9339   38.00000   38.00000   39.00000    61    9493   60.50000   60.83333   61.50000
0000008  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    39    9338    9339   38.00000   38.33333   39.00000    61    9493   60.50000   60.83333   61.50000
0000009  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    39    9338    9339   38.00000   38.66667   39.00000    61    9493   60.50000   60.83333   61.50000
0000010  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    40    9339    9340   39.00000   39.00000   40.00000    61    9494   60.50000   60.83333   61.50000
